experiment,dataset,repeat,method,seed,target_seed,n_samples,burn_in,pre_burn,tuning_profile,time_sec,preprocess_time_sec,sampling_time_sec,covariance_samples,covariance_source,burn_covariance_time_sec,gvi_covariance_time_sec,tuning_time_sec,ess_mean,efficiency,p_jump,rho1,epsilon,L,hmc_initial_epsilon,hmc_initial_L,hmc_gvi_tune_acceptance,hmc_gvi_tune_efficiency,hmc_gvi_tune_rho1,gvi_iterations,gvi_rank
4.2.1_logistic,pima,1,HMC-GVI,11190,,1000000,10000,10000,pima_hmc_gvi_lcap24,401.2261575999728,35.79504119997728,365.43111449998105,,cgvi,,2.807887499977369,32.98715369999991,993851.374346578,0.993851374346578,0.9929712871287129,-0.01759295747777,0.1599999999999999,10.0,,,0.99,0.9608528096257272,-0.0297427758243047,397.0,
4.2.1_logistic,pima,1,MALA,11160,,1000000,10000,10000,expanded_hmc_gvi_tuned,62.280020799997146,1.783375699989847,60.496644099999685,10000.0,mala_pre_burn,1.148890600001323,,0.6344850999885239,270957.77168849844,0.2709577716884984,0.5359772277227722,0.5457916132845462,1.65,,,,,,,,
4.2.1_logistic,pima,1,RMH,11134,,1000000,10000,10000,expanded_hmc_gvi_tuned,20.670163000002503,0.1532709000020986,20.51689129999432,10000.0,rmh_pre_burn,0.1532709000020986,,0.0,36860.12679004851,0.0368601267900485,0.2509871287128712,0.9252994470326608,,,,,,,,,
4.2.1_logistic,pima,2,AM,21146,,1000000,10000,10000,expanded_hmc_gvi_tuned,33.05673199999728,0.0,33.05673199999728,,adaptive,,,0.0,37057.37315068032,0.0370573731506803,0.2474346534653465,0.9263050080254724,,,,,,,,,
4.2.1_logistic,pima,2,HMC,21176,,1000000,10000,10000,expanded_hmc_gvi_tuned,445.5840004000056,142.38250160000462,303.20148429999244,10000.0,hmc_pre_burn,70.88855640000838,,140.17053190000297,998197.57113585,0.99819757113585,0.9951950495049504,-0.0188455946657077,0.1324784758728865,12.0,0.028650479686019,8.0,,,,,
4.2.1_logistic,pima,2,HMC-GVI,21190,,1000000,10000,10000,pima_hmc_gvi_lcap24,347.04761020001024,34.81814389998908,312.2294642000052,,cgvi,,2.53696850000415,32.28117539998493,998764.9427481156,0.9987649427481156,0.9928960396039604,-0.0218379852352076,0.1599999999999999,10.0,,,0.996,0.9271559890713912,-0.0286419565572662,271.0,
4.2.1_logistic,pima,2,MALA,21160,,1000000,10000,10000,expanded_hmc_gvi_tuned,42.81664419999288,1.3593091999937317,41.45733430000837,10000.0,mala_pre_burn,0.8789843999984441,,0.4803247999952873,273802.6352898042,0.2738026352898042,0.5430188118811882,0.5430310191556906,1.65,,,,,,,,
4.2.1_logistic,pima,2,RMH,21134,,1000000,10000,10000,expanded_hmc_gvi_tuned,15.769354599993676,0.1468022000044584,15.622551199994632,10000.0,rmh_pre_burn,0.1468022000044584,,0.0,37274.8864863206,0.0372748864863205,0.2502,0.9250453010734389,,,,,,,,,
4.2.1_logistic,pima,3,AM,31146,,1000000,10000,10000,expanded_hmc_gvi_tuned,35.24685509999108,0.0,35.24685509999108,,adaptive,,,0.0,37937.96139192247,0.0379379613919224,0.2531910891089109,0.9246444579865484,,,,,,,,,
4.2.1_logistic,pima,3,HMC,31176,,1000000,10000,10000,expanded_hmc_gvi_tuned,898.1716881999891,204.95334950000688,693.2183247999928,10000.0,hmc_pre_burn,102.90036470000632,,202.6003167000017,1000000.0,1.0,0.9982960396039604,-0.0182408542033735,0.0793541055971025,20.0,0.0291927440217217,8.0,,,,,
4.2.1_logistic,pima,3,HMC-GVI,31190,,1000000,10000,10000,pima_hmc_gvi_lcap24,287.46223390000523,27.071677599975374,260.3905546000169,,cgvi,,2.285640099988086,24.786037499987287,998979.5425843488,0.9989795425843488,0.9929336633663366,-0.0275679136026275,0.1599999999999999,10.0,,,0.996,0.9210488158538016,-0.0228337451719222,327.0,
4.2.1_logistic,pima,3,MALA,31160,,1000000,10000,10000,expanded_hmc_gvi_tuned,49.10533170000417,1.4191933999973116,47.68613760000153,10000.0,mala_pre_burn,0.9171313999977428,,0.5020619999995688,234889.9169728753,0.2348899169728753,0.417049504950495,0.564261765502386,1.8280965481511773,,,,,,,,
4.2.1_logistic,pima,3,RMH,31134,,1000000,10000,10000,expanded_hmc_gvi_tuned,15.707535800000189,0.1588749999937135,15.548660400003428,10000.0,rmh_pre_burn,0.1588749999937135,,0.0,37289.63807582389,0.0372896380758238,0.2526653465346534,0.9254847459944218,,,,,,,,,
4.2.3_glmm,glmm_polypharmacy,1,MALA,14160,,1000000,10000,100000,expanded_hmc_gvi_tuned_burncov100000,354.9414654999855,49.20303740000236,305.720345299982,100000.0,mala_pre_burn,39.12319650000427,,10.07984089999809,215.6234894365785,0.0002156234894365,0.7019326732673268,0.989935717720099,0.4528836703209852,,,,,,,,
4.2.3_glmm,glmm_polypharmacy,1,MALA-GVI,14164,,1000000,10000,10000,expanded_hmc_gvi_tuned_burncov100000,322.3156294999935,18.11100919998717,304.204619199998,,sparse_precision_gvi,,6.614853900013259,11.496155299973909,26840.28437223441,0.0268402843722344,0.6897475247524752,0.9423559900073908,1.2,,,,,,,14309.0,
4.2.3_glmm,glmm_polypharmacy,2,MALA,24160,,1000000,10000,100000,expanded_hmc_gvi_tuned_burncov100000,360.0832670000091,52.44809089999762,307.6182989999943,100000.0,mala_pre_burn,42.38837649999186,,10.05971440000576,179.89570847597653,0.0001798957084759,0.5968336633663366,0.9913905818158792,0.4528836703209852,,,,,,,,
4.2.3_glmm,glmm_polypharmacy,2,MALA-GVI,24164,,1000000,10000,10000,expanded_hmc_gvi_tuned_burncov100000,318.12990150001133,18.18513470000471,299.9447661000013,,sparse_precision_gvi,,5.950614700006554,12.234519999998156,26636.74061194387,0.0266367406119438,0.6911336633663366,0.942394121284563,1.2,,,,,,,14246.0,
4.2.3_glmm,glmm_polypharmacy,3,MALA,34160,,1000000,10000,100000,expanded_hmc_gvi_tuned_burncov100000,354.6280237000028,55.53017929999624,299.08047699998133,100000.0,mala_pre_burn,43.42092010000488,,12.109259199991357,218.03584365657667,0.0002180358436565,0.7418544554455445,0.9894990531086146,0.4528836703209852,,,,,,,,
4.2.3_glmm,glmm_polypharmacy,3,MALA-GVI,34164,,1000000,10000,10000,expanded_hmc_gvi_tuned_burncov100000,317.03655369995977,18.242691699968415,298.7938615999883,,sparse_precision_gvi,,6.169078599981731,12.073613099986687,26774.237282298734,0.0267742372822987,0.689390099009901,0.9423335523472992,1.2,,,,,,,14591.0,
